PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
28;079;39;83;28079039_83_98;2022;02;11;V;10.9;V;10.4;V;10.4;V;10;V;8.5;V;9.5;V;10.7;V;10.2;V;9.8;V;11;V;11;V;9.3;V;8.1;V;8.1;V;9.7;V;10.9;V;12.2;V;9.7;V;8.5;V;11.1;V;13.2;V;12;V;11.7;V;8.9;V;8.5;V;10.5;V;11.6;V;00000;N;00000;N;00000;N
28;079;39;86;28079039_86_98;2022;01;63;V;71;V;79;V;87;V;78;V;80;V;71;V;80;V;75;V;72;V;71;V;62;V;63;V;66;V;65;V;71;V;67;V;58;V;49;V;61;V;64;V;61;V;73;V;67;V;65;V;66;V;56;V;40;V;36;V;37;V;44;V
28;079;39;86;28079039_86_98;2022;02;55;V;62;V;61;V;68;V;63;V;49;V;53;V;54;V;59;V;63;V;65;V;60;V;72;V;66;V;61;V;65;V;71;V;68;V;60;V;56;V;53;V;30;V;41;V;46;V;73;V;82;V;73;V;68;V;00000;N;00000;N;00000;N
28;079;39;89;28079039_89_98;2022;01;0;V;0;V;0;V;0;V;3.2;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V
28;079;39;89;28079039_89_98;2022;02;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;1.1;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;2.1;V;2.5;V;0.1;V;0;V;00000;N;00000;N;00000;N
28;079;54;81;28079054_81_98;2022;01;0.64;V;0.65;V;0.67;V;2.03;V;2.51;V;0.84;V;1.05;V;0.74;V;2.94;V;1.44;V;0.92;V;0.94;V;0.94;V;1;V;0.72;V;0.64;V;0.52;V;0.18;N;0.13;N;0.5;V;0.43;V;0.41;V;0.32;V;0.24;V;0.59;V;1.02;V;0.91;V;0.91;V;0.8;V;0.63;V;0.94;V
28;079;54;81;28079054_81_98;2022;02;2.21;V;0.69;V;0.78;V;0.69;V;1.4;V;1.17;V;0.91;V;1.1;V;0.77;V;0.66;V;0.8;V;0.76;V;1.29;V;2.78;V;1.02;V;1.59;V;0.75;V;0.86;V;1.98;V;0.85;V;1.02;V;1.19;V;0.91;V;0.82;V;1.42;V;1.23;V;0.89;V;0.8;V;00000;N;00000;N;00000;N
28;079;54;82;28079054_82_98;2022;01;78;V;70;V;5;V;34;V;268;V;1;V;6;V;195;V;268;V;16;V;16;V;3;V;68;V;69;V;81;V;44;V;19;N;28;N;93;V;80;V;54;V;39;V;18;V;11;V;41;V;60;V;26;V;3;V;38;V;47;V;26;V
28;079;54;82;28079054_82_98;2022;02;42;V;66;V;31;V;67;V;28;V;47;V;17;V;48;V;2;V;65;V;45;V;99;V;202;V;198;V;185;V;63;V;90;V;0;V;39;V;0;V;8;V;56;V;22;V;2;V;33;V;37;V;86;V;198;V;00000;N;00000;N;00000;N
28;079;54;83;28079054_83_98;2022;01;9.9;V;9.2;V;9.4;V;8;V;6.4;V;4.6;V;5.1;V;3.5;V;7.9;V;10.7;V;10.6;V;7.4;V;5.3;V;4.2;V;4;V;3.9;V;1;V;-1.4;V;-1.4;V;-0.5;V;-1.9;V;-2.2;V;-1.6;V;-0.9;V;4;V;6.1;V;7.2;V;7.5;V;8.2;V;8.6;V;8.5;V
28;079;54;83;28079054_83_98;2022;02;10.5;V;11.1;V;9.9;V;9.9;V;9.8;V;8.3;V;9.7;V;10.3;V;9.8;V;9.5;V;10.9;V;10.7;V;9.7;V;8.4;V;8.2;V;9.6;V;10.6;V;12;V;9.5;V;8.3;V;11.3;V;12.6;V;11.9;V;11.1;V;8.7;V;8.3;V;9.9;V;11;V;00000;N;00000;N;00000;N
28;079;54;86;28079054_86_98;2022;01;65;V;70;V;77;V;82;V;73;V;78;V;68;V;80;V;75;V;75;V;67;V;58;V;59;V;64;V;65;V;69;V;67;V;59;V;52;V;57;V;62;V;62;V;72;V;68;V;63;V;66;V;52;V;37;V;31;V;32;V;36;V
28;079;54;86;28079054_86_98;2022;02;51;V;57;V;56;V;64;V;58;V;42;V;42;V;51;V;55;V;57;V;57;V;56;V;68;V;60;V;55;V;60;V;66;V;62;V;55;V;50;V;47;V;25;V;34;V;40;V;72;V;80;V;71;V;66;V;00000;N;00000;N;00000;N
28;079;54;88;28079054_88_98;2022;01;103;V;89;V;96;V;56;V;83;V;112;V;110;V;77;V;102;V;109;V;111;V;119;V;89;V;120;V;118;V;120;V;60;V;102;V;103;V;103;V;104;V;103;V;91;V;50;V;52;V;125;V;133;V;141;V;143;V;141;V;142;V
28;079;54;88;28079054_88_98;2022;02;143;V;148;V;137;V;93;V;125;V;156;V;157;V;158;V;159;V;147;V;137;V;141;V;91;V;122;V;174;V;154;V;177;V;175;V;99;V;187;V;187;V;195;V;153;V;125;V;43;V;26;V;149;V;200;V;00000;N;00000;N;00000;N
28;079;54;89;28079054_89_98;2022;01;0;V;0;V;0;V;4;V;3.6;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V
28;079;54;89;28079054_89_98;2022;02;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;3;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;14.5;V;11;V;3;V;0;V;00000;N;00000;N;00000;N
28;079;56;81;28079056_81_98;2022;01;0.7;V;0.72;V;0.73;V;1.12;V;1.22;V;0.87;V;0.87;V;0.84;V;1.24;V;1.23;V;0.8;V;1.08;V;0.91;V;0.91;V;0.77;V;0.76;V;0.73;V;0.44;V;0.18;V;0.45;V;0.41;V;0.23;V;0.21;V;0.36;V;0.45;V;0.33;V;0.26;V;0.24;V;0.27;V;0.2;V;0.27;V
28;079;56;81;28079056_81_98;2022;02;0.9;V;0.2;V;0.2;V;0.13;V;0.73;V;0.26;V;0.35;V;0.34;V;0.24;V;0.42;V;0.78;V;0.73;V;1.39;V;1.38;V;0.96;V;1.03;V;0.74;V;0.78;V;1.59;V;0.85;V;0.84;V;1.05;V;0.73;V;0.75;V;1.18;V;1.34;V;0.85;V;0.82;V;00000;N;00000;N;00000;N
28;079;56;82;28079056_82_98;2022;01;66;V;72;V;77;V;57;V;227;V;14;V;70;V;66;V;1;V;69;V;66;V;37;V;56;V;63;V;63;V;16;V;67;V;0;V;28;V;64;V;70;V;0;V;75;V;65;V;62;V;62;V;0;V;66;V;66;V;67;V;66;V
28;079;56;82;28079056_82_98;2022;02;68;V;0;V;65;V;0;V;61;V;65;V;68;V;66;V;72;V;74;V;65;V;33;V;216;V;259;V;220;V;69;V;38;V;70;V;68;V;65;V;82;V;59;V;73;V;75;V;59;V;66;V;63;V;60;V;00000;N;00000;N;00000;N
28;079;56;83;28079056_83_98;2022;01;9.3;V;8.9;V;9.1;V;7.4;V;7;V;5.3;V;5.9;V;3.9;V;9.3;V;12.6;V;10.6;V;7.4;V;5.1;V;4.1;V;4;V;3.9;V;4.9;V;1.1;V;-1.6;V;-0.7;V;-1.6;V;-1.4;V;-1.4;V;-0.6;V;0.9;V;-0.8;V;-0.2;V;-0.3;V;-0.3;V;0.1;V;0.5;V
28;079;56;83;28079056_83_98;2022;02;3.1;V;3;V;1.8;V;2.3;V;2.7;V;1.1;V;1.9;V;2.9;V;5.7;V;9.4;V;11;V;10.5;V;9.9;V;9;V;8.6;V;10.5;V;11.1;V;12.1;V;10.3;V;8.6;V;11.3;V;13.4;V;11.6;V;10.9;V;9.6;V;9;V;10.3;V;11.5;V;00000;N;00000;N;00000;N
